Extractor1,Extractor2,Full name of the society,Society info source,Society base country,Society type,"EDI (Equity, Diversity, Inclusion) statement present","EDI (Equity, Diversity, Inclusion) structure present",EDI comment,Fees info source,Currency of society fees,Standard individual regular membership fee per year,Comment on the standard individual regular membership fee per year,Standard individual student membership fee per year,Comment on the standard individual student membership fee per year,Standard individual postdoc membership fee per year,Comment on the standard individual postdoc membership fee per year,Eligibility timeframe for standard individual postdoc membership fee,Comment on the eligibility timeframe for standard individual postdoc membership fee,Discounted fees available for individual members from some countries or regions,Countries or regions eligible for discounted/waived fees,Comment on countries or regions eligible for discounted/waived fees,Increased fees imposed on individual members from some countries or regions (e.g. outside society’s home country),Countries or regions eligible for increased fees,Comment on countries or regions eligible for increased fees,Discounted individual membership fees available for the following groups,Comment on groups eligible for discounted fees,Complete or partial individual membership fee waivers available on individual request,Comment on individual requests for discounted fees or waivers,Voluntary donations not linked to membership application,Comment on voluntary donations not linked to membership application,Individual full membership benefits,Comment on society membership benefits,Comments_general,Censor-irrelevant,Censor-noinfo,Multiple-currencies,Extractor1,Extractor2
Shinichi Nakagawa,Zhenzhuo Xian,Association for Tropical Biology and Conservation,https://tropicalbiology.org/,USA,International by chapter,yes,yes,"Statement:
https://tropicalbiology.org/wp-content/uploads/2021/02/ATBC-DEI-Resolution.pdf

Structure:
https://tropicalbiology.org/about-us/committees/diversity-equity-and-inclusion-committee/",https://tropicalbiology.org/join-atbc/,USD,85,"1.1 Regular:  High-Income Country: $85; Middle-Income Country: $45; Low-Income Country: $25
1.2 Regular 3-year Fee: High-Income Country: $215; Middle-Income Country: $115; Low-Income Country: $65",45,"2.1 Student:  High-Income Country: $15; Middle-Income Country: $25; Low-Income Country: $45
2.2 Student 3-Year: High-Income Country: $115; Middle-Income Country: $65; Low-Income Country: $40",65,"3.1 Post-Doc:  High-Income Country: $65; Middle-Income Country: $35; Low-Income Country: $20
3.2 Post-Doc 3-Year: High-Income Country: $165; Middle-Income Country: $90; Low-Income Country: $50",,"no definition of postdoc, likely no time limit",yes,"Low-Income Country, Middle-Income Country","Your membership should be based on your country of residence. For a list of low-, middle-, and high-income countries please refer to the World Bank classification.",no,,,"student, postdoc / ECR (excluding students)",,no,,yes,button at the bottom of the page,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Those marked by ""*"" are classified into ""Other""

Free access for articles in Biotropica – the official journal of the ATBC with an Impact Factor of 2.351 (2019).

Waived article processing fees and page charges (APC) for publication in Biotropica – publication fees of one article per year are waived when the first author is an ATBC member.

Discounts for attending ATBC Annual Meetings – reduced rates are offered to ATBC members wishing to participate at the ATBC Annual Meetings.

*Support for Conservation Initiatives – the Association is playing an increasingly vigorous role in tropical conservation via the ATBC Conservation Committee, which is open to all members.

Grants and Awards – ATBC members are eligible to apply for Research Grants and numerous awards.

Webinars – access to numerous online seminars, trainings, and panels.

*Thematic Groups – participation in thematic groups encompassing different topics in biology, including the opportunity to create and manage your own thematic group of tropical biologists and conservationists.

Access to the ATBC Member Directory – direct access to an amazing community and network of passionate and committed tropical biologists and conservationists.

Opportunities for Capacity Building – access to mentoring circles, research and soft skills training workshops, and field-courses, among others.",,0,0,0,Shinichi Nakagawa,Zhenzhuo Xian
Ayumi Mizuno,Saeed Shafiei Sabet,Association of Australasian Palaeontologists,https://www.australasianpalaeontologists.org,Australia,International by name,no,no,,"https://www.australasianpalaeontologists.org/join-the-aap
https://www.gsa.org.au/Public/Public/Member/Membership_Fees.aspx?hkey=06827bb4-336d-4148-93e8-f0b1e203d98a",AUD,215,The membership category: Fellow (journal online only $175: GSA) and Palaeontology (incl. Alcheringa) (include journal $40: AAP),44.95,The membership category: Student Member (Alcheringa) (journal hard copy & online $40: GSA) and Palaeontology Student (no Alcheringa) ($4.95: AAP),,,,,no,,,no,,,"student, retired/emeritus, junior, family, other","other: Graduate Member (GSA)
Member who is an individual, who has applied for and been admitted to membership and who has obtained qualifications from a tertiary institution or university in earth sciences and has been a Member for less than 3 years.",no,,no,,,I could not find any benefits of joining the AAP,"Individuals interested in joining AAP have first to become a member of the Geological Society of Australia (GSA) and pay the membership fee (journal hard copy & online or journal online only).

Afterwards, they can join AAP by paying an additional fee, with further choices available, such as subscribing to the journal.

I went through the process of joining the association and confirmed it.

The membership fees I filled in include the combined costs of both GSA and AAP memberships. Also, I have included each membership fee in the comments.",0,0,0,Ayumi Mizuno,Saeed Shafiei Sabet
Eli Thoré,Ying-Chi Chan,Association of Systematic Biologists of the Philippines,https://asbp.org.ph/about/,Philippines,"National by name, International by aims or scope of activities",no,no,,https://asbp.org.ph/asbp-sam-2021/,PHP,800,,,,,,,,no,,,no,,,other,Discount fee available for old members (500 PHP),no,,no,,Publication fees (APC) discount or waiver,,"Membership fee information is for 2021, no more updated information found",0,0,0,Eli Thoré,Ying-Chi Chan
Nina Trubanová,Szymon Drobniak,Australasian Evolution Society,https://ausevo.com/,Australia,International by name,no,no,Statement or structure not found,Information not found,AUD,,"From the webpage it seems that registering for society conference = becoming a member, but no specific fee information available",,"From the webpage it seems that registering for society conference = becoming a member, but no specific fee information available",,,,,no,,,no,,,other,"""Honorary Membership
10) The Council may invite as an Honorary Member any professional scientist or any scientifically-interested amateur.
11) Honorary Members shall not be required to pay entrance fee or subscription.""
[https://ausevo.com/constitution/]",no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes)","""Membership in the society allows you to participate in our Annual Conference and to engage with other members."" [https://ausevo.com/]; https://ausevo.com/excellence_awards/, ECR networking grants p. 2 and p. 4 of https://ausevo.com/docs/AESAGM_2023_upload.pdf, ","I was not able to find information on membership fees/subscription, only the registration fees for the conference organized by https://ausevo.com/registration/. ""Membership shall not be considered effective until the first subscription has been paid."" [https://ausevo.com/constitution/]. The webpage is very rudimentary and does not provide too much details about membership or how to obtain it",0,1,0,Nina Trubanová,Szymon Drobniak
April Robin Martinig,Saeed Shafiei Sabet,Behavior Genetics Association,https://www.bga.org/,USA,International by aims or scope of activities,yes,yes,https://www.bga.org/content.aspx?page_id=22&club_id=971921&module_id=567723; https://www.bga.org/content.aspx?page_id=22&club_id=971921&module_id=558772,https://www.bga.org/content.aspx?page_id=22&club_id=971921&module_id=567747,USD,120,"Regular Members are persons who are engaged in teaching and/or research related to behavior genetics and who subscribe to the purposes of the association. Membership dues are $100 with the auto-renew feature or $120 without the auto-renew feature. AND Please note that New Regular Members pay $100, and New Associate and Emeritus Members pay $50, for their first year of dues. After that year, they will pay the membership rates that are listed above.",70,"Associate Membership: A student in good standing at a recognized college or university may apply for Associate Membership. Membership dues for this category are $70. When an Associate Member completes their professional degree, they should alert the BGA Treasurer, Jaime Derringer, to change their membership status",,,,,yes,"Members in low- and middle-income countries as defined by the World Bank are eligible for a discount on membership fees.

Members living and working in low-income economies, use discount code LMIC90 for 90% off membership fees.
Members living and working in lower-middle-income economies, use discount code LMIC75 for 75% off membership fees.
Members living and working in upper-middle-income economies, use discount code LMIC50 for 50% off membership fees.",,no,,,"student, retired/emeritus, other",Regular Members and Emeritus Members have the option to sign up for the auto-renew feature for membership renewals and dues. This feature is free to members and locks in a discounted dues rate ($100 for Regular Members; $50 for Emeritus members) for each year that the auto-renew is in place.,no,,yes,https://www.bga.org/content.aspx?page_id=301&club_id=971921,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://bga.org/content.aspx?page_id=22&club_id=971921&module_id=567747,,0,0,0,April Robin Martinig,Saeed Shafiei Sabet
Elina Takola,Kevin R. Bairos-Novak,Botanical Society of America,https://www.botany.org/,USA,"National by name, International by aims or scope of activities",yes,yes,"Diversity, Equity and Inclusion Committee",https://botany.org/home/membership.html,USD,100,Professional member'; includes a 3-year professional membership for 280,25,,40,,,Any member holding a current post-doctoral position.,yes,https://cms.botany.org/file.php?file=SiteAssets/membership/BSA_DevelopmentStatus.pdf; Based on UNCTAD list of developing countries: https://cms.botany.org/file.php?file=SiteAssets/membership/BSA_DevelopmentStatus.pdf,,no,,,"student, postdoc / ECR (excluding students), retired/emeritus, family, non-academic specialists, general community/public",,no,"Regular member states that: 'Any person who is interested in plant biology and who is not eligible for, or does not desire inclusion in, the categories that follow.' - potentially implying that one can pick a specific category with no questions asked",yes,Gift opportunities and award support available within membership application,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",,,0,0,0,Elina Takola,Kevin R. Bairos-Novak
Elina Takola,Matthieu Paquet,Botanical Society of Britain & Ireland,https://bsbi.org/,UK,International by name,no,no,,https://bsbi.org/join-us,GBP,39,,17,,,,,,no,,,no,,,"student, retired/emeritus, junior, family",junior: any person under 25 is eligible for student rates,no,,yes,,"Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,They have a membership welcome pack,0,0,0,Elina Takola,Matthieu Paquet
Caleb Onoja Akogwu,Patrice Pottier,British Bryological Society,https://www.britishbryologicalsociety.org.uk/,UK,"National by name, International by aims or scope of activities",no,no,,https://www.britishbryologicalsociety.org.uk/the-society/join-and-renew/,GBP,25,Ordinary Membership,12.5,Concessions (loyalty/student/senior),,,,,no,,,no,,,"student, junior, family, other",other: Loyalty members (Ordinary Members who have been members of the Society for 40 years or more),no,,no,,"Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Includes entitlement to Journal of Bryology and Field Bryology, as well as other services provided by the society.","I copied this membership benefit under the Ordinary Membership category, and I don't know if it applies to the Concessions category.",0,0,0,Caleb Onoja Akogwu,Patrice Pottier
All (pilot extractions),Losia Lagisz,British Ecological Society,https://www.britishecologicalsociety.org,UK,"National by name, International by chapter",yes,yes,https://www.britishecologicalsociety.org/equality-diversity/; https://www.britishecologicalsociety.org/about/diversity-and-the-bes/,https://www.britishecologicalsociety.org/membership-community/join-us/,GBP,61,"51 if payed by direct debit, 61 if by credit or debit card. ",30,"They offer a first year free membership. Renewal would be 25 if payed by direct debit, 30 if payed by credit or debit card",,not offered,,,yes,resident in a low or lower-middle income country as classified by the World Bank.,Reduced – open to anyone who is a resident in a low or lower-middle income country as classified by the World Bank. This option is also available to anyone who is currently unemployed.,no,,,"student, retired/emeritus, employed part-time",,yes,"""We also offer a 12 month free student membership for anyone studying an ecology or ecology-related degree who is an Undergraduate, Master’s or 1st year PhD student.""",yes,Support our mission and help develop the next generation of ecologists by donating to the British Ecological Society.,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",Detailed list of benefits here: https://www.britishecologicalsociety.org/membership-community/membership-benefits/ ,,0,0,0,All (pilot extractions),Losia Lagisz
Caleb Onoja Akogwu,Dylan G. E. Gomes,British Herpetological Society,https://www.thebhs.org/,UK,"National by name, International by aims or scope of activities",no,no,,https://www.thebhs.org/membership/join-the-bhs,GBP,20,UK residents only,18,UK residents only,,,,,no,,,yes,,Overseas & Institutional Subscriptions,"student, family, other",other = Institutional member,no,,yes,"BHS Supporter
Of course, we’d be delighted to welcome you as a full BHS member, and we have a range of membership options above to help this – but if you really prefer not to, please do consider becoming a BHS Supporter instead!

The `BHS Supporter’ option enables you to easily make a regular donation to help our work. By doing this, you’ll be directly supporting reptile and amphibian research and conservation, both in the UK and globally.","Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver","Membership gives you access to the latest issues of our publications the The Herpetological Journal, The Herpetological Bulletin and the NatterJack, which are available through the publications section of our website. The Herpetological Bulletin is also available in print, so if you choose one of the 'Print & Online' membership plans you will receive issues of this publication through the post.

As well as instant access to our publications through our website, other Membership benefits include:

Free information leaflets - produced regularly on various aspects of conservation and captive breeding.
Meetings - several are held each year covering all areas of the society's activities.
Email alerts to advise you when a new Journal, Bulletin or Natterjack issue had been published to the website.
Downloads and Videos - Members' only area with documents from our AGM plus videos of talks and presentations from BHS conferences.","The association has three membership categories:
1) Print and online subscriptions (Family Membership £43, Full Member £38 and Ordinary Member £30) 
2) Online subscriptions (Family Membership £30, Full Member £25, Ordinary Member £20 and Student Member £18).
3) Overseas & Institutional Subscriptions [Institutional Member (Print & Online) £100, Institutional Member (Online) £65, Overseas Members (Print & Online) £65 and Overseas Members (Online) £25
",0,0,0,Caleb Onoja Akogwu,Dylan G. E. Gomes
Saeed Shafiei Sabet,Zhenzhuo Xian,British Ornithologists' Union,https://bou.org.uk/,UK,International by aims or scope of activities,yes,yes,https://bou.org.uk/about-the-bou/equality-diversity/,https://bou.org.uk/join-the-bou-today/,GBP,45,https://bou.org.uk/join-the-bou-today/,20,https://bou.org.uk/join-the-bou-today/,20,https://bou.org.uk/join-the-bou-today/,,5,yes,"Low- and middle-income country member from £10 per annum.
For those from and/or living in a low- or middle-income country. Includes an online subscription to IBIS.",,no,,,"student, postdoc / ECR (excluding students)",,no,,yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Other",https://bou.org.uk/join-the-bou-today/,,0,0,0,Saeed Shafiei Sabet,Zhenzhuo Xian
April Robin Martinig,Manuela S. Santana,Centro Italiano Studi Ornitologici,https://www.ciso-coi.it/en,Italy,"National by name, International by aims or scope of activities",no,no,,https://www.ciso-coi.it/en/chi-siamo/come-iscriversi/,EUR,26,,,,,,,,no,,,no,,,junior,Discounted fee for those under 21 years old,no,,no,,"Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","As stated in the website as a benefit, becoming a member will contribute to to the costs of digital publication of AVOCETTA, the official publication of CISO, recently initiated in the process of obtaining an impact factor.",The membership does not provide journal discount or waiver. Society states that those who also want to receive a printed copy of the journal AVOCETTA must add the amount of 15.00 euros to the fee.,0,0,0,April Robin Martinig,Manuela S. Santana
Nina Trubanová,Szymon Drobniak,Česko-Slovenská Biologická Společnost,ttps://www.icsbs.cz/,Czech Republic,International by aims or scope of activities,no,no,,https://www.icsbs.cz/o-spolecnosti/prihlaska.html,CZK,450,"Individuální členský poplatek na rok 450,- Kč",100,"Individuální studentský poplatek na rok 100,- Kč",,,,,no,,,no,,,"student, retired/emeritus",The annual fee for both students and retired members is CZK 100. ,no,,no,,"Funding (e.g., travel awards/grants, research funding, prizes), Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,"While it seems that this society is international (Czech + Slovak) only from historical reasons (once these countries were one) in the application form there is an option ""Other"" for the country of association.",0,0,0,Nina Trubanová,Szymon Drobniak
Saeed Shafiei Sabet,Zhenzhuo Xian,Coastal and Estuarine Research Federation,https://www.cerf.science/,USA,International by aims or scope of activities,yes,yes,"EDI statement: https://cerf.memberclicks.net/inclusive-culture
EDI structure: Inclusive Culture Council (Treda Grayson, Kristin Wilson Grimes) - https://cerf.memberclicks.net/committees",https://www.cerf.science/benefits-options,USD,120,,30,,60,,5,,yes,Emerging & Developing Country,https://www.cerf.science/benefits-options#Early,no,,,"student, postdoc / ECR (excluding students), retired/emeritus, family","Early Professional Member
Mid-Career Professional",no,,yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","https://cerf.memberclicks.net/benefits-options#Emerging

Membership Benefits
As a CERF member, you:

Help CERF meet its mission to promote the understanding and wise stewardship of coasts and estuaries worldwide
Belong to a network of the top coastal and estuarine scientists, managers, and educators from around the globe; members have access to an online member directory and exclusive listservs to help you connect to colleagues
Stay on top of the latest coastal and estuarine science with access to Estuaries and Coasts and Wetlands, discounts on other Springer and Wiley publications, access to CERF conference highlights, the CERF's Up! bulletin, and other updates from CERF
Receive discounted registration to the Biennial CERF Conference, the premier international conference on coastal and estuarine science; CERF members are also eligible for scientific awards and student travel funds
Learn new skills and stay up-to-date with the latest trends through the CERF Webinar Series and our archive of past webinars
Find your next job, internship, or funding opportunity through the CERF Job Board
Demonstrate your support for a diverse and inclusive coastal and estuarine science community through CERF's Rising TIDES program
Have the opportunity to shape the future of your Federation through leadership and volunteer opportunities, and through voting privileges",,0,0,0,Saeed Shafiei Sabet,Zhenzhuo Xian
Joanna Rutkowska,Ying-Chi Chan,Comparative Cognition Society,http://comparativecognition.org/,USA,International by aims or scope of activities,yes,yes,http://comparativecognition.org/edi.php,http://comparativecognition.org/feestructure.php,USD,90,,60,,60,,,,no,,,no,,,"student, postdoc / ECR (excluding students), retired/emeritus",,no,,yes,separate links for donations,Conference registration discount or waiver,,,0,0,0,Joanna Rutkowska,Ying-Chi Chan
Nina Trubanová,Szymon Drobniak,Czech Scientific Society for Mycology,http://www.czechmycology.org/en/,Czech Republic,"National by name, International by aims or scope of activities",no,no,,"http://www.czechmycology.org/en/cssm-membership.php, http://www.czechmycology.org/cz/cvsm-clenstvi.php#prihlaska",EUR,53,"Standard membership is EUR 53 or CZK 500 (ca. EUR 20), however this membership doesn't include a full subscription to Czech Mycology journal only a discount.",,No student membership is offered on the English version of the website but the Czech version offers a student membership for CZK 100 (ca. EUR 4) per year. This membership doesn't include a full subscription to Czech Mycology journal only a discount.,,,,,no,,,no,,,"student, retired/emeritus","The Czech version offers a student membership for students of high schools and universities, and a retired membership for CZK 100 (ca. EUR 4) per year. This membership doesn't include a full subscription to Czech Mycology journal only a discount.",no,,no,,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,On the Czech version of the website it is says that to become a member one must get recommended by two existing members of the society while on the English version no similar stipulation can be found.,0,0,1,Nina Trubanová,Szymon Drobniak
Matthieu Paquet,Michael Bertram,Deep-Sea Biology Society,https://dsbsoc.org/,UK,International by aims or scope of activities,yes,yes,"https://dsbsoc.org/about-2/officers-of-the-society/
https://dsbsoc.org/wp-content/uploads/2023/08/General_Accessibilty_v3_UpdatedAug23.docx.pdf",https://dsbsoc.wildapricot.org/,GBP,60,,30,,,,,,yes,"To qualify for reduced developing nation membership fees, the nation of current residence must be included on this list of developing economies from the International Monetary Fund: https://en.wikipedia.org/wiki/Developing_country",30GBP for researchers from developing countries and 15GBP for students from developing countries,no,,,"student, retired/emeritus, non-academic specialists",Free for professional artists who submitted Expressions of Interests and were approved. Duration 1 year. Renewed with updated Expression of Interest. Artist membership,yes,"If you are unable to pay the membership fees due to financial hardship, please email membership@dsbsoc.org to request a waiver. Include your affiliation and position information.",yes,,,"It was not explicit! By searching on the website I could see that awards and travel grants are available for members, but I don't know for conference fee as registration is not open yet.",,0,0,0,Matthieu Paquet,Michael Bertram
Eli Thoré,Ying-Chi Chan,Dutch Bryological and Lichenological Society,https://www.blwg.nl/mossen/english.aspx,Netherlands,"National by name, International by aims or scope of activities",no,no,,https://www.blwg.nl/mossen/lidworden.aspx,EUR,25,,,"No student category available. There is a specific category if you're part of a youth association, but I don't consider that to be the same.",,No postdoc category available.,,,no,,,no,,,"non-academic specialists, junior",Discount fee available for members of the Natural History Society and youth associations.,no,,no,,"Journal subscription discount or waiver, Other",Discount on buying other publications (e.g. books) of the society,,0,0,0,Eli Thoré,Ying-Chi Chan
Caleb Onoja Akogwu,Patrice Pottier,East African Wildlife Society,https://eawildlife.org/,Kenya,"National by name, International by aims or scope of activities",no,no,,https://eawildlife.org/join-and-donate/join-us/,USD,20,"E-Swara category

East Africa
KSHS:1,000
USD:20

Rest of Africa
USD:20

Outside Africa
USD:20",,,,,,,yes,Africa,"Discounted fees are only available for bronze, silver, gold and platinum memberships, not the membership for the online-only subscription. ",yes,Outside Africa,,NA,,no,,yes,"When you donate to EAWLS, you give to nature!

our support and generosity helps us secure nature for posterity

Thank you for caring for our planet!","Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Other","Copy of SWARA Magazine quarterly. (4 copies yearly).
Access to online SWARA Magazine archives.
Discount on EAWLS Merchandise.
Swara Magazine is dispatched in Electronic format only for E-Swara.
35% discount on all print Wiley Publications",No bylaws.,0,0,1,Caleb Onoja Akogwu,Patrice Pottier
Nina Trubanová,Szymon Drobniak,Ecological Society of America,https://www.esa.org/,USA,"National by name, International by chapter",yes,yes,https://www.esa.org/about/diversity-in-ecology/; https://www.esa.org/about/governance/standing-committees/diversity-committee/,https://www.esa.org/membership/,USD,201,"Regular Membership depends on the annual income.
Annual Income	Dues
Under $40,000	 $75
$40,001 – $60,000	 $116
$60,001 – $100,000	 $142
$100,001 – $150,000	 $172
Over $150,001	 $201",39,"A copy of a valid student ID card is required to be sent by email to the ESA membership office together with the anticipated degree (BA, MS, PhD, etc.) and year of its obtaining.",,,,,yes,https://datahelpdesk.worldbank.org/knowledgebase/articles/906519,"Developing Country Membership
Regular	 $60
Student	 $25
Developing Country Memberships are available to individuals who are citizens of a developing country and currently residing in that country. ",no,,,"student, retired/emeritus, other","Emeritus Membership: Complimentary and available to retired individuals who have been ESA members for at least 30 consecutive years. 

other = Contributing Member	 $325
Provides an addition level of annual support to ESA programs.",no,,yes,https://www.esa.org/giving/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Other = ""ADVOCACY and IMPACT: We work with media to convey the value of ecological research results to the general public, as well as to garner federal support for ecological research; we also support the growth of emerging ecologists as advocates for the use of good science in decision-making.""",,0,0,0,Nina Trubanová,Szymon Drobniak
Ayumi Mizuno,James A. Orr,Ecological Society of Australia,https://www.ecolsoc.org.au/,Australia,"National by name, International by aims or scope of activities",yes,yes,"Statement: https://www.ecolsoc.org.au/wp-content/uploads/ESA-Equity-Diversity-statement-final-1-1.pdf

Structure: https://www.ecolsoc.org.au/category/working-groups/equity-and-diversity/",https://www.ecolsoc.org.au/get-involved/become-a-member/,AUD,115,"The annual membership fee becomes more economical when paying for 5 years or 15 years in advance.

Standard 5yrs: 470.00AUD (94AUD/year)
Standard 15yrs: 1,237.00AUD (82.47AUD/year)",64,,,,,,yes,selected OECD countries,64AUD (developing country),yes,Outside Australia,,"retired/emeritus, unemployed, employed part-time, family",ESA has a Retired/Low Income membership category - I ticked unemployed and employed part-time job here as a low income category.,no,,yes,https://www.ecolsoc.org.au/get-involved/donate/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","Member benefit page: https://www.ecolsoc.org.au/get-involved/member-benefits/

Full list here: 
Austral Ecology 8 issues/yr, and automatic online access via Wiley Online Library
Ecological Management & Restoration online access via Wiley Online Library
The ESA Bulletin 4 issues/yr, available online and via email
Weekly e-news listing upcoming events and activities, grants and awards, job and student opportunities, conference information, book reviews etc.
Hot Topics presenting the science behind current topical debates
Monthly Feel Good Friday newsletter highlighting the positive ecological stories of the previous month
Reduced Annual Conference registration fees
Opportunities to get involved  – nominate  to join our Board, Working Group, conference LOC or to represent ESA on scientific committees.
Access to our Member Directory – an online database where you can link to your research, current work projects, search our membership and list your interests
Research chapter networks to keep in contact with colleagues working in a similar field
Expanding range of member only prizes, research grants and travel grants for students, postgrads, early career ecologists, conference attendance and more
Dynamic website with latest news, comprehensive coverage of Society activities and governance, and social media connectivity
‘Ecology in Action’ Photo Competition
Online services including: discussion forums, online payments and receipts, access to our correspondence and business documentation",,0,0,0,Ayumi Mizuno,James A. Orr
Nina Trubanová,Szymon Drobniak,"Ecological Society of Germany, Austria and Switzerland",https://gfoe.org/en,Germany,International by name,no,no,,https://gfoe.org/en/membership,EUR,60,,20,"Fee for PhD students, undergraduates pay 10 EUR",,,,,no,,,no,,,"student, junior","Student member annual fee €30, junior member annual fee €50",no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",Access to the society paper newsletter,,0,0,0,Nina Trubanová,Szymon Drobniak
